Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
106,0,140.162323,-80.230484,6.585525,39.250710,-21.415316,57.281467,89.311607,-130.832397,9.190632,-7.181827,22.934904,53.911476,-32.319111,47.831535,36.568760,,,
107,0,140.158752,-80.204407,6.583507,39.234264,-21.419769,57.290581,89.278725,-130.781845,9.205552,-7.176250,22.968773,53.892422,-32.304737,47.833824,36.546669,,,
108,0,140.152832,-80.218887,6.563356,39.239540,-21.427410,57.294853,89.264381,-130.788757,9.196937,-7.187202,22.969606,53.899754,-32.306271,47.834690,36.553619,,,
109,0,140.157471,-80.200272,6.576408,39.233028,-21.424366,57.291027,89.249519,-130.840851,9.166456,-7.183609,22.958981,53.907875,-32.295677,47.834473,36.550476,,,
110,0,140.151672,-80.242668,6.558496,39.240501,-21.424522,57.295815,89.339737,-130.842804,9.127522,-7.153569,22.925814,53.917240,-32.308228,47.834961,36.577515,,,
111,0,140.160782,-80.228996,6.583948,39.264538,-21.433605,57.298058,89.297096,-130.727524,9.191084,-7.162977,22.942513,53.897522,-32.337975,47.808262,36.575298,,,
112,0,140.156433,-80.216492,6.537177,39.256916,-21.427502,57.290478,89.205658,-130.741638,9.198099,-7.159400,22.946676,53.903919,-32.316902,47.822151,36.535118,,,
113,0,140.155579,-80.215904,6.536199,39.239956,-21.449909,57.299019,89.296776,-130.754761,9.162382,-7.165016,22.946140,53.897247,-32.292091,47.849079,36.555187,,,
114,0,140.173416,-80.164268,6.522867,39.238602,-21.416752,57.257298,89.324623,-130.775497,9.099629,-7.167995,22.930222,53.884457,-32.306858,47.837078,36.550293,,,
115,0,140.192612,-80.152412,6.525224,39.224396,-21.428947,57.266735,89.233665,-130.700195,9.143032,-7.162213,22.929134,53.881985,-32.317459,47.835396,36.545059,,,
116,0,140.174286,-80.161812,6.522189,39.261620,-21.419981,57.282875,89.226288,-130.684235,9.138955,-7.177577,22.965395,53.907787,-32.278744,47.853516,36.565872,,,
117,0,140.173264,-80.167290,6.511278,39.247387,-21.427141,57.279949,89.286964,-130.706467,9.182109,-7.170773,22.955334,53.924076,-32.304920,47.834660,36.569927,,,
118,0,140.156631,-80.169327,6.506771,39.249340,-21.424641,57.280628,89.315552,-130.822311,9.156288,-7.159888,22.945547,53.906704,-32.301983,47.848202,36.556515,,,
